path,block,parcel,source_page_number
B15/B15_P2__photo11.jpg,15,2,246
B15/B15_P2__photo12.jpg,15,2,247
B15/B15_P2__photo13.jpg,15,2,247
B15/B15_P2__photo14.jpg,15,2,247
B16/B16_P1__photo1.jpg,16,1,251
B16/B16_P1__photo2.jpg,16,1,251
B16/B16_P2__photo1.jpg,16,2,255
B16/B16_P4__photo1.jpg,16,4,259
B16/B16_P4__photo2.jpg,16,4,259
B16/B16_P4__photo3.jpg,16,4,261
B16/B16_P4__photo4.jpg,16,4,261
B16/B16_P7__photo1.jpg,16,7,265
B16/B16_P7__photo2.jpg,16,7,265
B16/B16_P8__photo1.jpg,16,8,269
B16/B16_P8__photo2.jpg,16,8,269
B16/B16_P9__photo1.jpg,16,9,273
B16/B16_P9__photo2.jpg,16,9,273
B16/B16_P10__photo1.jpg,16,10,277
B16/B16_P10__photo2.jpg,16,10,277
B17/B17_P1__photo1.jpg,17,1,7
B17/B17_P1__photo2.jpg,17,1,7
B17/B17_P2__photo1.jpg,17,2,11
