path,block,parcel,source_page_number
B24/B24_P7__photo1.jpg,24,7,26
B25/B25_P1__photo1.jpg,25,1,29
B25/B25_P2__photo1.jpg,25,2,33
B25/B25_P3__photo1.jpg,25,3,37
B25/B25_P4__photo1.jpg,25,4,41
B25/B25_P4A__photo1.jpg,25,4A,45
B25/B25_P6__photo1.jpg,25,6,50
B25/B25_P6__photo2.jpg,25,6,53
B25/B25_P7__photo1.jpg,25,7,59
B25/B25_P8__photo1.jpg,25,8,63
B25/B25_P9__photo1.jpg,25,9,67
B25/B25_P10__photo1.jpg,25,10,71
B25/B25_P11__photo1.jpg,25,11,78
B26/B26_P14__photo1.jpg,26,14,1
B27/B27_P1__photo1.jpg,27,1,5
B28/B28_P1__photo1.jpg,28,1,17
B28/B28_P2__photo1.jpg,28,2,19
B28/B28_P3__photo1.jpg,28,3,22
B28/B28_P4P5__photo1.jpg,28,"4,5",30
B28/B28_P6__photo1.jpg,28,6,37
B28/B28_P7__photo1.jpg,28,7,40
B30/B30_P1__photo1.jpg,30,1,50
B30/B30_P1__photo2.jpg,30,1,50
B30/B30_P1__photo3.jpg,30,1,52
B30/B30_P1__photo4.jpg,30,1,52
B30/B30_P2__photo1.jpg,30,2,59
B2A/B2A_P1__photo1.jpg,2A,1,31
B2A/B2A_P1__photo2.jpg,2A,1,32
B2A/B2A_P4__photo1.jpg,2A,4,39
